strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Australia/SA0717/2021	EPI_ISL_2462355		SA Pathology	SA Pathology	Caitlin Selway et al
hCoV-19/Australia/SA0681/2021	EPI_ISL_1706364		SA Pathology	SA Pathology	Lex Leong et al
hCoV-19/Pakistan/PPHRL-AH025/2021	EPI_ISL_1968629		Provincial Public Health Reference Laboratory	Provincial Public Health Reference Laboratory	ANDLEEB HANIF et al
hCoV-19/Germany/NW-RKI-I-165736/2021	EPI_ISL_2389114		Medizinische Laboratorien Düsseldorf	Robert Koch Institute	?
hCoV-19/Spain/CT-HUGTiPM023JU0C9/2021	EPI_ISL_2812477		Microbiology Department, Laboratori Clínic Metropolitana Nord. Hospital Universitari Germans Trias i Pujol	Can Ruti SARS-CoV-2 Sequencing Hub (HUGTiP/IrsiCaixa/IGTP)	Marc Noguera-Julian et al
hCoV-19/England/MILK-1557DA1/2021	EPI_ISL_2004789		Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	The Lighthouse Lab in Milton Keynes et al
hCoV-19/Taiwan/CGMH-CGU-64/2021	EPI_ISL_2544700		Research Center for Emerging Viral Infections, Chang Gung University, Taiwan	Research Center for Emerging Viral Infections, Chang Gung University, Taiwan	Shin-Ru Shih et al
hCoV-19/Taiwan/CGMH-CGU-70/2021	EPI_ISL_2544706		Research Center for Emerging Viral Infections, Chang Gung University, Taiwan	Research Center for Emerging Viral Infections, Chang Gung University, Taiwan	Shin-Ru Shih et al
hCoV-19/Taiwan/11103/2021	EPI_ISL_3040147		Centers for Disease Control, R.O.C. (Taiwan)	Centers for Disease Control, R.O.C. (Taiwan)	Ji-Rong Yang et al B
hCoV-19/Taiwan/14222/2021	EPI_ISL_3040143		Centers for Disease Control, R.O.C. (Taiwan)	Centers for Disease Control, R.O.C. (Taiwan)	Ji-Rong Yang et al B
hCoV-19/Moldova/S3331Nr1/2021	EPI_ISL_1385804		Alfa Diagnostica, Republic of Moldova	ONCOGENE LLC	ONCOGENE LLC et al
hCoV-19/Mexico/CHH-InDRE_FB14880_S2401/2021	EPI_ISL_2455926		LESP Chihuahua	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/SIN_CIAD-MZT_HJ1711/2021	EPI_ISL_2533917		Hospital Margarita Maza de Juárez	Microbial Genomics Laboratory	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Scotland/QEUH-15D22BE/2021	EPI_ISL_2407826		Lighthouse Lab in Glasgow	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Harper VanSteenhouse et al
hCoV-19/Australia/NSW-R0265/2021	EPI_ISL_2107530		New South Wales Health Pathology Royal Prince Alfred Hospital	Microbiology RPAH	Foster et al
hCoV-19/Australia/NSW1583/2021	EPI_ISL_2462424		South Eastern Area Laboratory Services (SEALS)	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al.
hCoV-19/Switzerland/SG-CLM-04135480/2021	EPI_ISL_1704010		Center for Laboratory Medicine	Center for Laboratory Medicine	Yannick Gerth et al
hCoV-19/France/ARA-HCL990000337827/2021	EPI_ISL_1695850		CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
hCoV-19/Albania/210901052/2021	EPI_ISL_1299861		Unit of lab surveillance of viral emerging diseases, National Lab of Influenza	Respiratory Virus Unit, National Infection Service, Public Health England	PHE Covid Sequencing Team et al
hCoV-19/Kosovo/ChVir25780_9/2021	EPI_ISL_2833657		Department of Microbiology, National Institute for Public Health of Kosova	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/Kosovo/ChVir25780_26/2021	EPI_ISL_2833647		Department of Microbiology, National Institute for Public Health of Kosova	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/Austria/CeMM12122/2021	EPI_ISL_2887497		Austrian Agency for Health and Food Safety (AGES)	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/France/IDF-IPP14767/2021	EPI_ISL_2835857		Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Guadeloupe/IPP11462/2021	EPI_ISL_2188321		Hospital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Spain/VC-IBV-98028422/2021	EPI_ISL_2323426		Servicio de Microbiología. Hospital Universitario Doctor Peset	SeqCOVID-SPAIN consortium/IBV(CSIC)	Juan Alberola Enguídanos et al
hCoV-19/Malta/MDxMDH450/2021	EPI_ISL_2113984		Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	G Zahra et al
hCoV-19/Georgia/Tb-SNGS196/2021	EPI_ISL_3204243		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Meri Pantsulaia et al
hCoV-19/Georgia/Tb-SNGS179/2021	EPI_ISL_3208122		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Meri Pantsulaia et al
hCoV-19/Congo/FCRM-57-A24-19-04/2021	EPI_ISL_3342566		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al
hCoV-19/RepublicoftheCongo/RC-006/2021	EPI_ISL_2978191		Laboratoire National de Santé Publique, Brazzaville, République du Congo	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/Andorra/AND-233_2118213842_GC/2021	EPI_ISL_3384885		Laboratori d'anàlisis clíniques, Hospital Nostra Senyora de Meritxell	LBM de CHU de Toulouse, Hôpitaux de Toulouse	M et al
hCoV-19/USA/NM-CDC-ASC210062548/2021	EPI_ISL_2181656	MZ245372.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Mexico/CHH_IBT_IMSS_1430/2021	EPI_ISL_2681289		Centro de Investigación Biomédica del Noreste (CIBIN)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/DUR-InDRE_FB17386_S3481/2021	EPI_ISL_2778996		LESP Durango	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/NorthernIreland/RAND-151EBAC/2021	EPI_ISL_1806937		Randox Laboratories	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Randox Laboratories et al
hCoV-19/USA/CO-CDC-MMB09082915/2021	EPI_ISL_2875336	MZ532759.1	Mako Medical	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Ecuador/NIC-INSPI-262273/2021	EPI_ISL_2348786		Instituto Nacional De Investigación En Salud Pública-Crn De Influenza Y Otros Virus Respiratorios	NIC-Instituto Nacional de Investigación en Salud Pública	Alfredo Bruno et al
hCoV-19/Ecuador/USFQ-1135/2021	EPI_ISL_1896683		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Belén Prado-Vivar et al
hCoV-19/Ecuador/NIC-INSPI-334726/2021	EPI_ISL_2988564		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	NIC-INSPI	Alfredo Bruno et al
hCoV-19/Ecuador/NIC-INSPI-336489/2021	EPI_ISL_2988482		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	NIC-INSPI	Alfredo Bruno et al
hCoV-19/Ecuador/USFQ-1146/2021	EPI_ISL_2086699		Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito	Sully Márquez et al
hCoV-19/Ecuador/NIC-INSPI-93539/2021	EPI_ISL_3274519		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	NIC-INSPI	Alfredo Bruno et al
hCoV-19/Moldova/un-ChVir25728/2021	EPI_ISL_2894995		National Agency for Public Health, Republic of Moldova	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/Japan/PG-52908/2021	EPI_ISL_2811216		Department of Infectious Diseases, Kobe Institute of Health	Department of Infectious Diseases, Kobe Institute of Health	Ryohei Nomoto et al
hCoV-19/Japan/PG-64433/2021	EPI_ISL_3194632		Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
hCoV-19/Slovenia/17-059159-CE/2021	EPI_ISL_2788899		National Laboratory for Health, Environment and Food, OMM, Celje	NLZOH (National Laboratory for Health, Environment and Food) / CISLD (Clinical Institute of Special Laboratory Diagnostics), University Children's Hospital, University Medical Center Ljubljana	Sandra Janezic et al
hCoV-19/Poland/WGS-CoV-PZH-UMB-1425/2021	EPI_ISL_2361828		UM im. Karola Marcinkowskiego w Poznaniu Laboratorium UCA_Covid-19	1. Academic Center for Pathomorphological and Genetic-Molecular Diagnostics ltd, Bialystok, Poland 2. National Institute of Public Health - National Institute of Hygiene, Warsaw, Poland	Radosław Charkiewicz et al
hCoV-19/Ukraine/HZ4-60454/2021	EPI_ISL_2934573		SECP MHU	The Institute of Molecular Biology and Genetics of NASU	M.Tukalo et al.
hCoV-19/Vietnam/VN5903/2021	EPI_ISL_2455504		National Hospital for Tropical Diseases	Oxford University Clinical Research Unit, Hanoi, Vietnam	Pham Ngoc Thach et al
hCoV-19/Japan/PG-68623/2021	EPI_ISL_3195567		SARS-CoV-2 testing team, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
hCoV-19/Guadeloupe/IPP13778/2021	EPI_ISL_2532300		Hospital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/SintMaarten/SX-RIVM-39246/2021	EPI_ISL_2610707		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Guadeloupe/IPP13824/2021	EPI_ISL_2531889		RIIP	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al
hCoV-19/Japan/PG-35403/2021	EPI_ISL_2358078		Hokkaido Institute of Public Health	Hokkaido Institute of Public Health	Kazuhiro Okubo et al
hCoV-19/NewZealand/21CH0030/2021	EPI_ISL_2406488		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Paula scholes et al
hCoV-19/Lithuania/S21E564/2021	EPI_ISL_2427801		UAB InMedica	Vilnius University Hospital Santaros Klinikos, Center of Laboratory Medicine	Daniel Naumovas et al
hCoV-19/Lithuania/S21E922/2021	EPI_ISL_2428885		Viesoji istaiga Vilniaus universiteto ligonine Santaros klinikos	Vilnius University Hospital Santaros Klinikos, Center of Laboratory Medicine	Gytis Dudas et al
hCoV-19/Lithuania/S21G63/2021	EPI_ISL_3060142		UAB Diagnostikos laboratorija	Vilnius University Hospital Santaros Klinikos, Center of Laboratory Medicine	Rimvydas Norvilas__ Dovile Juozapaite__ Ingrida Olendraite__ Gytis Dudas__ Daniel Naumovas__ Ligita Raugaite__ Monika Katenaite et al
hCoV-19/Japan/PG-57971/2021	EPI_ISL_2860748		Hyogo Prefectural Institute of Public Health science	Pathogen Genomics Center, National Institute of Infectious Diseases	Kenichi Ogita et al
hCoV-19/Japan/PG-44584/2021	EPI_ISL_2338276		SARS-CoV-2 testing team, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
hCoV-19/SouthKorea/KDCA6208/2021	EPI_ISL_3026316		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al
hCoV-19/Japan/PG-56357/2021	EPI_ISL_2771011		SARS-CoV-2 testing team, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
hCoV-19/Japan/PG-62545/2021	EPI_ISL_3196256		Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka et al
hCoV-19/SouthKorea/KDCA4267/2021	EPI_ISL_2332542		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Ae Kyung Park et al
hCoV-19/Kazakhstan/KAR-NRL-566S/2021	EPI_ISL_2840045		"National Center of Expertise" CSEC MH RK in Karaganda region	Reference laboratory for the control of viral infections	Nazym Tleumbetova et al
hCoV-19/Netherlands/NH-RIVM-42306/2021	EPI_ISL_2981357		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/env/Austria/CeMM8364/2021	EPI_ISL_2137178		Department of Microbiology, University Innsbruck	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/Romania/B-11736/2021	EPI_ISL_2086184		Department of Public Health Bucharest	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	Corina Casangiu et al
hCoV-19/Slovakia/MDX-9-42/2021	EPI_ISL_2774436		Multiplex DX	Multiplex DX	Diana Drobna et al
hCoV-19/Aruba/AW-RIVM-29813/2021	EPI_ISL_1962892		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Netherlands/DR-RIVM-33878/2021	EPI_ISL_2303621		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-36932/2021	EPI_ISL_2475377		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Netherlands/NH-RIVM-27315/2021	EPI_ISL_1792710		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Netherlands/OV-RIVM-32627/2021	EPI_ISL_2220067		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Netherlands/NB-RIVM-39743/2021	EPI_ISL_2672477		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-35129/2021	EPI_ISL_2405585		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-31682/2021	EPI_ISL_2219319		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-16951/2021	EPI_ISL_1288131		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-22567/2021	EPI_ISL_1521850		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-31658/2021	EPI_ISL_2219296		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-33247/2021	EPI_ISL_2303447		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-27422/2021	EPI_ISL_1792865		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-35151/2021	EPI_ISL_2405608		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Bonaire/BQ-RIVM-25820/2021	EPI_ISL_1705293		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-31157/2021	EPI_ISL_2093753		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-14493/2021	EPI_ISL_1165526		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-31204/2021	EPI_ISL_2093765		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-35931/2021	EPI_ISL_2406389		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-35162/2021	EPI_ISL_2405619		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Italy/TAA-IGA-1900530682/2021	EPI_ISL_1523573		Azienda Sanitaria dell'Alto Adige Laboratorio Aziendale di Microbiologia e Virologia	Istituto di Genomica Applicata	Elisabetta Pagani et al
hCoV-19/DRC/RDC-226/2021	EPI_ISL_2968551		Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al
hCoV-19/Austria/CeMM8576/2021	EPI_ISL_2137361		Austrian Agency for Health and Food Safety (AGES)	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/Slovenia/08-109904-MB/2021	EPI_ISL_2273495		National Laboratory for Health, Environment and Food, OMM, Maribor	NLZOH (National Laboratory for Health, Environment and Food) / CISLD (Clinical Institute of Special Laboratory Diagnostics), University Children's Hospital, University Medical Center Ljubljana	Sandra Janezic et al
hCoV-19/Croatia/6026/2021	EPI_ISL_3047558		Klinički bolnički centar Zagreb	Hrvatski zavod za javno zdravstvo	Irena Tabain et al
hCoV-19/Brazil/SP-833275/2021	EPI_ISL_1795080		CENTRO MEDICO PMESP	Instituto Butantan / ESALQ-Piracicaba	Instituto Butantan: Alexander Roberto Precioso et al
hCoV-19/USA/NM-NMDOH-2021131334/2021	EPI_ISL_2928094	MZ557531.1	Curative Labs	New Mexico Department of Health Scientific Laboratory	Ellie Johnson et al
hCoV-19/Serbia/Cacak-3401431106/2021	EPI_ISL_3163964		Institute of Virology, Vaccines and Sera "Torlak"	Institute of microbiology and Immunology, Faculty of Medicine, University of Belgrade	Knezevic et al
hCoV-19/Serbia/Cacak-3401451106/2021	EPI_ISL_3163965		Institute of Virology, Vaccines and Sera "Torlak"	Institute of microbiology and Immunology, Faculty of Medicine, University of Belgrade	Knezevic et al
hCoV-19/Serbia/Pozarevac-3334841805/2021	EPI_ISL_3163957		Institute of Virology, Vaccines and Sera "Torlak"	Institute of microbiology and Immunology, Faculty of Medicine, University of Belgrade	Knezevic et al
